SC_ALL_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_all_p2,34,2.666666667,0.471404521,97525.33333,60161.6,132131.17
SC_all_p2,74,2.25,0.721687836,79278.5,79278.5,109453.9536
SC_all_p2,73,2.4,0.663324958,121826.3,121826.3,146004.5217
SC_all_p2,62,2.272727273,0.616575453,224546,163337.8571,174944.6664
SC_all_p2,84,1.952380952,0.898474394,83680.04762,83680.04762,100788.1859
SC_all_p2,62,1.846153846,0.53293871,226594.3846,197780.7273,270194.5498
SC_all_p2,77,2.4,0.663324958,122785,110492.8889,134506.2076
SC_all_p2,75,2,0.67936622,102958.9231,102958.9231,127453.1858
SC_all_p2,60,1.916666667,0.493006649,235612.25,223634.7273,196118.035
SC_all_p2,70,1.846153846,0.948371385,150528.5385,143621.4167,139676.4273
SC_all_p2,67,2.384615385,0.835598499,202825.2,202825.2,220352.7321
SC_all_p2,19,1.8,0.748331477,169296.8,169296.8,258845.898
SC_all_p2,34,2.333333333,0.942809042,243746,243746,253907.1743
SC_all_p2,102,1.904761905,0.749905512,187120.7143,164738.8462,201251.0251
SC_all_p2,19,2,0.707106781,37632.5,37632.5,32659.64247
SC_all_p2,38,3,0.632455532,77681,77681,145004.2614
SC_all_p2,11,0,0,0,0,0
SC_all_p2,28,2.5,1.5,138957.1667,138957.1667,245720.0482
SC_all_p2,25,2.666666667,0.471404521,41161,41161,57417.24238
SC_all_p2,11,1.5,0.5,189530,189530,177835
SC_all_p2,17,2.5,0.5,200759.5,200759.5,166605.5
SC_all_p2,26,2.75,0.433012702,100841.75,100841.75,154475.2871
SC_all_p2,20,0,0,0,0,0
SC_all_p2,33,1.875,1.053268722,198592.25,198592.25,282155.0833
SC_all_p2,20,1.333333333,0.471404521,41463,41463,36141.36274
SC_all_p2,20,0,0,0,0,0
SC_all_p2,7,2,1,345272,345272,338977
SC_all_p2,21,2.5,1.5,37281.25,37281.25,33045.75453
SC_all_p2,11,0,0,0,0,0
SC_all_p2,18,2.25,0.829156198,272694,272694,276991.5353
SC_all_p2,20,2.333333333,0.471404521,140625,140625,161624.5047
SC_all_p2,20,1,0,684249,684249,0
SC_all_p2,24,2.333333333,1.247219129,36296.8,36296.8,29097.80062
SC_all_p2,15,2.5,0.5,28831.5,28831.5,20060.5
SC_all_p2,11,0,0,0,0,0
SC_all_p2,26,2.333333333,1.105541597,136853.3333,136853.3333,246668.4767
SC_all_p2,32,2.666666667,0.745355993,71556.83333,71556.83333,132752.3337
SC_all_p2,10,0,0,0,0,0
SC_all_p2,63,2.1,0.3,183626.1,150434.1667,122949.1408
SC_all_p2,75,2.333333333,0.849836586,150291.3636,141979.1,142192.2406
SC_all_p2,72,1.857142857,0.515078754,212895.8571,209476.1667,188155.3093
SC_all_p2,64,2.181818182,0.715818898,188509.7273,158938.125,144821.114
